"keys","en","zh"
"染色竞技场","Paint Arena","染色竞技场"
"红","Red","红"
"橙","Orange","橙"
"黄","Yellow","黄"
"绿","Green","绿"
"青","Cyan","青"
"蓝","Blue","蓝"
"紫","Purple","紫"
"猫","Cat","猫"
"狗","Dog","狗"
"兔","Rabbit","兔"
"熊","Bear","熊"
"狐狸","Fox","狐狸"
"浣熊","Raccoon","浣熊"
"企鹅","Penguin","企鹅"
"水豚","Capybara","水豚"
"速度","Speed","速度"
"水泡","Bubbles","水泡"
"水泡数","Bubbles","水泡数"
"威力","Power","威力"
"未知道具","Unknown item","未知道具"
"速度 +1","Speed +1","速度 +1"
"水泡数 +1","Bubbles +1","水泡数 +1"
"威力 +1","Power +1","威力 +1"
"玩家","Player","玩家"
"AI 队","AI Team","AI 队"
"第 %d 关 · %d 名 AI","Stage %d · %d AI","第 %d 关 · %d 名 AI"
"%s　速度 %d　水泡 %d/%d　威力 %d","%s  Speed %d  Bubbles %d/%d  Power %d","%s　速度 %d　水泡 %d/%d　威力 %d"
"下次 3 个道具 %02d 秒","Next 3 items in %02d s","下次 3 个道具 %02d 秒"
"本关道具已全部刷新","All stage items spawned","本关道具已全部刷新"
"临时：速度 +0　水泡 +0　威力 +0","Temporary: Speed +0  Bubbles +0  Power +0","临时：速度 +0　水泡 +0　威力 +0"
"临时：速度 +%d　水泡 +%d　威力 +%d","Temporary: Speed +%d  Bubbles +%d  Power +%d","临时：速度 +%d　水泡 +%d　威力 +%d"
"获得 %s！","Got %s!","获得 %s！"
"第 %d 关胜利！","Stage %d Victory!","第 %d 关胜利！"
"平局，重试本关","Draw — retry this stage","平局，重试本关"
"AI 队领先","AI Team Leads","AI 队领先"
"玩家 %d 格（锁定 %d）　AI %d 格（锁定 %d）","Player %d tiles (locked %d)  AI %d tiles (locked %d)","玩家 %d 格（锁定 %d）　AI %d 格（锁定 %d）"
"森林绘本 · 无限闯关","Forest Storybook · Endless Adventure","森林绘本 · 无限闯关"
"森林泡泡染色战","Forest Bubble Paint Battle","森林泡泡染色战"
"两分钟抢占地板，撞破敌方困泡永久锁定九宫格","Claim the floor in two minutes; pop trapped rivals to lock a 3×3 area","两分钟抢占地板，撞破敌方困泡永久锁定九宫格"
"开始闯关","Start Adventure","开始闯关"
"设置","Settings","设置"
"退出","Quit","退出"
"选择角色与阵营颜色","Choose Character & Team Color","选择角色与阵营颜色"
"局部队色与水泡颜色","Team Accents & Bubble Color","局部队色与水泡颜色"
"初始属性共 6 点，速度每点对应 25px/s。每关 2 分钟；接触撞破敌方困泡会永久锁定九宫格。","Each character starts with 6 points; every Speed point adds 25 px/s. Each stage lasts 2 minutes; touch a trapped rival to permanently lock a 3×3 area.","初始属性共 6 点，速度每点对应 25px/s。每关 2 分钟；接触撞破敌方困泡会永久锁定九宫格。"
"返回大厅","Back to Lobby","返回大厅"
"进入第 1 关","Enter Stage 1","进入第 1 关"
"第 1 关","Stage 1","第 1 关"
"准备中","Ready","准备中"
"实时占格","Live Territory","实时占格"
"下次 3 个道具 10 秒","Next 3 items in 10 s","下次 3 个道具 10 秒"
"WASD/方向键 移动　空格 放泡　滚轮或 +/- 缩放　0 恢复 110%　Esc 暂停","WASD/Arrows Move  Space Bubble  Wheel or +/- Zoom  0 Reset 110%  Esc Pause","WASD/方向键 移动　空格 放泡　滚轮或 +/- 缩放　0 恢复 110%　Esc 暂停"
"游戏设置","Game Settings","游戏设置"
"固定正交镜头：方位角 0°、俯角 54°","Fixed orthographic camera: azimuth 0°, elevation 54°","固定正交镜头：方位角 0°、俯角 54°"
"镜头缩放","Camera Zoom","镜头缩放"
"缩放范围 85%～135%；数字 0 恢复 110%","Zoom range 85%–135%; press 0 to reset to 110%","缩放范围 85%～135%；数字 0 恢复 110%"
"语言","Language","语言"
"保存并关闭","Save & Close","保存并关闭"
"游戏暂停","Game Paused","游戏暂停"
"当前关会保留成长与 AI 配置","This stage keeps your upgrades and AI setup","当前关会保留成长与 AI 配置"
"继续游戏","Resume","继续游戏"
"重新开始本关","Restart Stage","重新开始本关"
"结束闯关并返回大厅","End Adventure & Return to Lobby","结束闯关并返回大厅"
"本关结束","Stage Complete","本关结束"
"获得 1 技能点，选择下一关强化","Choose one upgrade for the next stage","获得 1 技能点，选择下一关强化"
"速度 +1 / 8","Speed +1 / 8","速度 +1 / 8"
"水泡 +1 / 10","Bubbles +1 / 10","水泡 +1 / 10"
"威力 +1 / 10","Power +1 / 10","威力 +1 / 10"
"重试本关","Retry Stage","重试本关"
"进入下一关","Next Stage","进入下一关"
"当前：%s · 速度%d 水泡%d 威力%d · %s色","Current: %s · Speed %d Bubbles %d Power %d · %s","当前：%s · 速度%d 水泡%d 威力%d · %s色"
"%s　%d 格　锁定 %d","%s  %d tiles  Locked %d","%s　%d 格　锁定 %d"
